"","countsOverlap","countsProCod","numJunctions","intronicLength"
"ENSG00000221561",1,1,0,NA
"ENSG00000222945",0,NA,0,NA
"ENSG00000263663",1,1,0,NA
"ENSG00000221376",1,1,0,NA
"ENSG00000207235",1,1,0,NA
"ENSG00000207551",2,0,0,NA
"ENSG00000201679",1,0,0,NA
"ENSG00000199121",1,1,0,NA
"ENSG00000266139",1,0,0,NA
"ENSG00000262719",0,NA,0,NA
"ENSG00000207425",1,1,0,NA
"ENSG00000265141",0,NA,0,NA
"ENSG00000200168",0,NA,0,NA
"ENSG00000241034",1,1,0,NA
"ENSG00000252531",1,1,0,NA
"ENSG00000252502",1,1,0,NA
"ENSG00000240584",0,NA,0,NA
"ENSG00000212625",1,1,0,NA
"ENSG00000200685",1,0,0,NA
"ENSG00000223235",0,NA,0,NA
"ENSG00000252584",0,NA,0,NA
"ENSG00000239545",0,NA,0,NA
"ENSG00000264822",1,1,0,NA
"ENSG00000241587",1,0,0,NA
"ENSG00000202050",0,NA,0,NA
"ENSG00000221270",0,NA,0,NA
"ENSG00000252876",1,1,0,NA
"ENSG00000207017",1,1,0,NA
"ENSG00000252705",0,NA,0,NA
"ENSG00000252291",1,1,0,NA
"ENSG00000206797",1,1,0,NA
"ENSG00000201860",0,NA,0,NA
"ENSG00000252234",1,0,0,NA
"ENSG00000199424",0,NA,0,NA
"ENSG00000206716",0,NA,0,NA
"ENSG00000266459",1,1,0,NA
"ENSG00000252533",1,0,0,NA
"ENSG00000252081",1,0,0,NA
"ENSG00000200613",0,NA,0,NA
"ENSG00000200506",1,1,0,NA
"ENSG00000238473",0,NA,0,NA
"ENSG00000222741",1,1,0,NA
"ENSG00000251975",0,NA,0,NA
"ENSG00000222404",1,0,0,NA
"ENSG00000253042",1,1,0,NA
"ENSG00000252424",0,NA,0,NA
"ENSG00000265990",0,NA,0,NA
"ENSG00000266016",1,1,0,NA
"ENSG00000266778",1,1,0,NA
"ENSG00000238819",0,NA,0,NA
"ENSG00000212292",0,NA,0,NA
"ENSG00000251848",1,1,0,NA
"ENSG00000266758",0,NA,0,NA
"ENSG00000201221",1,1,0,NA
"ENSG00000264201",1,1,0,NA
"ENSG00000207363",2,1,0,NA
"ENSG00000265272",1,1,0,NA
"ENSG00000199905",0,NA,0,NA
"ENSG00000266347",2,1,0,NA
"ENSG00000212221",2,1,0,NA
"ENSG00000200616",0,NA,0,NA
"ENSG00000201516",1,1,0,NA
"ENSG00000266857",0,NA,0,NA
"ENSG00000265866",0,NA,0,NA
"ENSG00000207332",1,1,0,NA
"ENSG00000239023",0,NA,0,NA
"ENSG00000265197",0,NA,0,NA
"ENSG00000238808",0,NA,0,NA
"ENSG00000264298",0,NA,0,NA
"ENSG00000263449",0,NA,0,NA
"ENSG00000238370",1,0,0,NA
"ENSG00000200385",1,1,0,NA
"ENSG00000263566",1,0,0,NA
"ENSG00000253047",0,NA,0,NA
"ENSG00000207746",1,1,0,NA
"ENSG00000221451",0,NA,0,NA
"ENSG00000265858",0,NA,0,NA
"ENSG00000201136",2,1,0,NA
"ENSG00000201464",0,NA,0,NA
"ENSG00000207407",1,1,0,NA
"ENSG00000212534",1,0,0,NA
"ENSG00000216032",0,NA,0,NA
"ENSG00000199883",1,1,0,NA
"ENSG00000240302",1,0,0,NA
"ENSG00000271281",0,NA,0,NA
"ENSG00000265192",1,1,0,NA
"ENSG00000222437",0,NA,0,NA
"ENSG00000239580",0,NA,0,NA
"ENSG00000207977",0,NA,0,NA
"ENSG00000266702",1,0,0,NA
"ENSG00000263902",1,0,0,NA
"ENSG00000243049",0,NA,0,NA
"ENSG00000243011",0,NA,0,NA
"ENSG00000252417",0,NA,0,NA
"ENSG00000238871",1,1,0,NA
"ENSG00000221095",2,1,0,NA
"ENSG00000252033",0,NA,0,NA
"ENSG00000251862",1,0,0,NA
"ENSG00000221373",1,1,0,NA
"ENSG00000206750",0,NA,0,NA
"ENSG00000212153",2,1,0,NA
"ENSG00000200281",1,1,0,NA
"ENSG00000264036",0,NA,0,NA
"ENSG00000200922",1,1,0,NA
"ENSG00000265156",1,1,0,NA
"ENSG00000239624",0,NA,0,NA
"ENSG00000221583",0,NA,0,NA
"ENSG00000265064",2,1,0,NA
"ENSG00000199373",1,0,0,NA
"ENSG00000252432",0,NA,0,NA
"ENSG00000222670",0,NA,0,NA
"ENSG00000253022",1,1,0,NA
"ENSG00000222952",0,NA,0,NA
"ENSG00000270368",0,NA,0,NA
"ENSG00000238971",0,NA,0,NA
"ENSG00000202186",0,NA,0,NA
"ENSG00000202499",1,0,0,NA
"ENSG00000199349",0,NA,0,NA
"ENSG00000268612",0,NA,2,NA
"ENSG00000212230",1,0,0,NA
"ENSG00000223152",1,1,0,NA
"ENSG00000251878",1,1,0,NA
"ENSG00000252525",1,1,0,NA
"ENSG00000265893",1,1,0,NA
"ENSG00000266726",1,0,0,NA
"ENSG00000244308",1,0,0,NA
"ENSG00000207620",0,NA,0,NA
"ENSG00000252470",0,NA,0,NA
"ENSG00000201770",0,NA,0,NA
"ENSG00000201564",1,1,0,NA
"ENSG00000252648",0,NA,0,NA
"ENSG00000207266",1,1,0,NA
"ENSG00000207016",1,1,0,NA
"ENSG00000264320",2,1,0,NA
"ENSG00000265985",0,NA,0,NA
"ENSG00000207786",2,1,0,NA
"ENSG00000265357",0,NA,0,NA
"ENSG00000265736",1,0,0,NA
"ENSG00000201229",1,1,0,NA
"ENSG00000253027",0,NA,0,NA
"ENSG00000199732",1,0,0,NA
"ENSG00000207197",1,0,0,NA
"ENSG00000264190",1,0,0,NA
"ENSG00000265056",1,0,0,NA
"ENSG00000240396",0,NA,0,NA
"ENSG00000207435",0,NA,0,NA
"ENSG00000264535",0,NA,0,NA
"ENSG00000216085",1,1,0,NA
"ENSG00000222178",0,NA,0,NA
"ENSG00000238562",0,NA,0,NA
"ENSG00000206778",1,1,0,NA
"ENSG00000201407",0,NA,0,NA
"ENSG00000241613",0,NA,0,NA
"ENSG00000211556",0,NA,0,NA
"ENSG00000252006",2,1,0,NA
"ENSG00000243654",1,0,0,NA
"ENSG00000268811",0,NA,6,NA
"ENSG00000199085",0,NA,0,NA
"ENSG00000221280",1,1,0,NA
"ENSG00000207403",0,NA,0,NA
"ENSG00000207595",2,1,0,NA
"ENSG00000263876",0,NA,0,NA
"ENSG00000206610",2,0,0,NA
"ENSG00000201207",1,0,0,NA
"ENSG00000207703",0,NA,0,NA
"ENSG00000265820",1,1,0,NA
"ENSG00000265377",0,NA,0,NA
"ENSG00000264931",1,0,0,NA
"ENSG00000238980",0,NA,0,NA
"ENSG00000212384",1,0,0,NA
"ENSG00000265201",1,1,0,NA
"ENSG00000239823",1,0,0,NA
"ENSG00000211491",0,NA,0,NA
"ENSG00000222394",0,NA,0,NA
"ENSG00000266882",1,0,0,NA
"ENSG00000252330",0,NA,0,NA
"ENSG00000238305",1,0,0,NA
"ENSG00000252244",1,1,0,NA
"ENSG00000199150",1,1,0,NA
"ENSG00000252864",1,1,0,NA
"ENSG00000266859",1,1,0,NA
"ENSG00000252236",0,NA,0,NA
"ENSG00000206982",0,NA,0,NA
"ENSG00000207297",1,0,0,NA
"ENSG00000253026",0,NA,0,NA
"ENSG00000200130",0,NA,0,NA
"ENSG00000243027",0,NA,0,NA
"ENSG00000251868",1,1,0,NA
"ENSG00000207710",0,NA,0,NA
"ENSG00000207820",1,0,0,NA
"ENSG00000252480",1,0,0,NA
"ENSG00000252020",0,NA,0,NA
"ENSG00000202077",1,0,0,NA
"ENSG00000206956",1,0,0,NA
"ENSG00000243446",1,1,0,NA
"ENSG00000264203",0,NA,0,NA
"ENSG00000207442",1,0,0,NA
"ENSG00000221494",0,NA,0,NA
"ENSG00000252249",0,NA,0,NA
"ENSG00000222659",0,NA,0,NA
"ENSG00000199285",0,NA,0,NA
"ENSG00000263654",0,NA,0,NA
"ENSG00000263689",0,NA,0,NA
"ENSG00000239160",1,1,0,NA
"ENSG00000222302",1,0,0,NA
"ENSG00000265637",1,1,0,NA
"ENSG00000199867",1,1,0,NA
"ENSG00000263816",1,0,0,NA
"ENSG00000221351",0,NA,0,NA
"ENSG00000201865",1,0,0,NA
"ENSG00000265603",1,0,0,NA
"ENSG00000264357",1,1,0,NA
"ENSG00000243980",0,NA,0,NA
"ENSG00000221555",1,1,0,NA
"ENSG00000265662",1,0,0,NA
"ENSG00000266310",1,0,0,NA
"ENSG00000207282",0,NA,0,NA
"ENSG00000252559",1,1,0,NA
"ENSG00000264021",1,1,0,NA
"ENSG00000264452",1,1,0,NA
"ENSG00000201180",1,1,0,NA
"ENSG00000207357",1,0,0,NA
"ENSG00000252730",0,NA,0,NA
"ENSG00000266112",1,1,0,NA
"ENSG00000239279",0,NA,0,NA
"ENSG00000221469",1,1,0,NA
"ENSG00000265325",1,1,0,NA
"ENSG00000221174",1,0,0,NA
"ENSG00000242066",2,1,0,NA
"ENSG00000252835",1,1,0,NA
"ENSG00000240490",1,1,0,NA
"ENSG00000221789",1,0,0,NA
"ENSG00000222666",0,NA,0,NA
"ENSG00000266817",1,0,0,NA
"ENSG00000199986",1,1,0,NA
"ENSG00000200164",2,1,0,NA
"ENSG00000263989",1,1,0,NA
"ENSG00000200485",0,NA,0,NA
"ENSG00000202297",1,0,0,NA
"ENSG00000252599",0,NA,0,NA
"ENSG00000200367",1,0,0,NA
"ENSG00000265876",0,NA,0,NA
"ENSG00000265941",1,0,0,NA
"ENSG00000263910",1,1,0,NA
"ENSG00000264075",1,0,0,NA
"ENSG00000265953",1,1,0,NA
"ENSG00000207466",0,NA,0,NA
"ENSG00000243845",1,1,0,NA
"ENSG00000221591",1,0,0,NA
"ENSG00000266018",1,1,0,NA
"ENSG00000222222",0,NA,0,NA
"ENSG00000252289",0,NA,0,NA
"ENSG00000206950",1,0,0,NA
"ENSG00000200331",0,NA,0,NA
"ENSG00000221676",0,NA,0,NA
"ENSG00000222205",0,NA,0,NA
"ENSG00000264331",0,NA,0,NA
"ENSG00000253005",0,NA,0,NA
"ENSG00000253045",1,1,0,NA
"ENSG00000252311",1,0,0,NA
"ENSG00000199833",1,0,0,NA
"ENSG00000238630",2,1,0,NA
"ENSG00000266146",1,1,0,NA
"ENSG00000252359",0,NA,0,NA
"ENSG00000252790",0,NA,0,NA
"ENSG00000251952",0,NA,0,NA
"ENSG00000201314",0,NA,0,NA
"ENSG00000238709",0,NA,0,NA
"ENSG00000265292",1,1,0,NA
"ENSG00000198995",1,0,0,NA
"ENSG00000265549",0,NA,0,NA
"ENSG00000263573",1,0,0,NA
"ENSG00000252169",0,NA,0,NA
"ENSG00000263669",1,0,0,NA
"ENSG00000242398",1,1,0,NA
"ENSG00000262278",1,0,0,NA
"ENSG00000263885",1,1,0,NA
"ENSG00000266887",1,1,0,NA
"ENSG00000266204",1,0,0,NA
"ENSG00000238514",1,1,0,NA
"ENSG00000239100",1,1,0,NA
"ENSG00000243424",0,NA,0,NA
"ENSG00000207378",1,1,0,NA
"ENSG00000264925",1,0,0,NA
"ENSG00000265306",1,1,0,NA
"ENSG00000266484",1,0,0,NA
"ENSG00000208313",1,0,0,NA
"ENSG00000238354",0,NA,0,NA
"ENSG00000221690",0,NA,0,NA
"ENSG00000221721",0,NA,0,NA
"ENSG00000252509",0,NA,0,NA
"ENSG00000221772",1,0,0,NA
"ENSG00000207014",1,0,0,NA
"ENSG00000251732",0,NA,0,NA
"ENSG00000263132",0,NA,0,NA
"ENSG00000238997",3,0,0,NA
"ENSG00000265573",1,1,0,NA
"ENSG00000201809",2,1,0,NA
"ENSG00000265403",0,NA,0,NA
"ENSG00000216127",1,0,0,NA
"ENSG00000221094",0,NA,0,NA
"ENSG00000264238",0,NA,0,NA
"ENSG00000221556",1,1,0,NA
"ENSG00000266884",0,NA,0,NA
"ENSG00000238646",0,NA,0,NA
"ENSG00000263690",0,NA,0,NA
"ENSG00000201624",0,NA,0,NA
"ENSG00000266662",0,NA,9,NA
"ENSG00000238634",0,NA,0,NA
"ENSG00000200635",0,NA,0,NA
"ENSG00000238714",0,NA,0,NA
"ENSG00000251951",1,0,0,NA
"ENSG00000207317",1,1,0,NA
"ENSG00000239146",1,1,0,NA
"ENSG00000222072",0,NA,0,NA
"ENSG00000265830",0,NA,0,NA
"ENSG00000206625",1,0,0,NA
"ENSG00000201965",1,0,0,NA
"ENSG00000212264",1,0,0,NA
"ENSG00000238754",1,1,0,NA
"ENSG00000265837",0,NA,0,NA
"ENSG00000266360",1,0,0,NA
"ENSG00000199385",0,NA,0,NA
"ENSG00000265042",1,1,0,NA
"ENSG00000239099",1,0,0,NA
"ENSG00000207739",1,0,0,NA
"ENSG00000207776",1,1,0,NA
"ENSG00000221396",1,0,0,NA
"ENSG00000207313",1,1,0,NA
"ENSG00000221571",0,NA,0,NA
"ENSG00000221446",1,1,0,NA
"ENSG00000207340",0,NA,0,NA
"ENSG00000238420",1,1,0,NA
"ENSG00000207245",1,0,0,NA
"ENSG00000206903",1,1,0,NA
"ENSG00000238436",0,NA,0,NA
"ENSG00000202008",2,1,0,NA
"ENSG00000263421",1,1,0,NA
"ENSG00000222102",1,0,0,NA
"ENSG00000265438",2,1,0,NA
"ENSG00000201118",1,1,0,NA
"ENSG00000200688",1,0,0,NA
"ENSG00000252695",1,1,0,NA
"ENSG00000212517",1,0,0,NA
"ENSG00000207083",1,0,0,NA
"ENSG00000199949",1,0,0,NA
"ENSG00000239079",1,1,0,NA
"ENSG00000264250",1,0,0,NA
"ENSG00000201361",0,NA,0,NA
"ENSG00000212354",1,0,0,NA
"ENSG00000207056",1,1,0,NA
"ENSG00000199402",1,1,0,NA
"ENSG00000252412",1,0,0,NA
"ENSG00000207827",2,1,0,NA
"ENSG00000238813",2,1,0,NA
"ENSG00000264967",0,NA,0,NA
"ENSG00000222266",1,0,0,NA
"ENSG00000251916",0,NA,0,NA
"ENSG00000266057",0,NA,0,NA
"ENSG00000252254",1,0,0,NA
"ENSG00000212247",1,0,0,NA
"ENSG00000199535",1,1,0,NA
"ENSG00000263971",0,NA,0,NA
"ENSG00000221716",1,1,0,NA
"ENSG00000201565",1,0,0,NA
"ENSG00000264680",1,0,0,NA
"ENSG00000264389",0,NA,0,NA
"ENSG00000241568",0,NA,0,NA
"ENSG00000244180",0,NA,0,NA
"ENSG00000206602",3,1,0,NA
"ENSG00000238485",1,1,0,NA
"ENSG00000265745",2,0,0,NA
"ENSG00000265020",1,1,0,NA
"ENSG00000201339",1,0,0,NA
"ENSG00000252076",0,NA,0,NA
"ENSG00000199804",2,1,0,NA
"ENSG00000199911",0,NA,0,NA
"ENSG00000252207",0,NA,0,NA
"ENSG00000221412",0,NA,0,NA
"ENSG00000251733",1,1,0,NA
"ENSG00000238712",1,1,0,NA
"ENSG00000201579",1,1,0,NA
"ENSG00000211577",2,1,0,NA
"ENSG00000215968",1,1,0,NA
"ENSG00000221720",1,1,0,NA
"ENSG00000222262",0,NA,0,NA
"ENSG00000238455",0,NA,0,NA
"ENSG00000199452",1,1,0,NA
"ENSG00000222509",0,NA,0,NA
"ENSG00000252880",0,NA,0,NA
"ENSG00000266154",1,0,0,NA
"ENSG00000201987",1,1,0,NA
"ENSG00000212084",0,NA,0,NA
"ENSG00000200411",2,1,0,NA
"ENSG00000207165",1,0,0,NA
"ENSG00000266353",0,NA,0,NA
"ENSG00000207803",0,NA,0,NA
"ENSG00000199890",1,1,0,NA
"ENSG00000244294",1,0,0,NA
"ENSG00000238606",2,1,0,NA
"ENSG00000266091",1,0,0,NA
"ENSG00000221038",0,NA,0,NA
"ENSG00000265768",1,1,0,NA
"ENSG00000207933",1,1,0,NA
"ENSG00000207326",1,0,0,NA
"ENSG00000265523",0,NA,0,NA
"ENSG00000263755",0,NA,0,NA
"ENSG00000265344",1,1,0,NA
"ENSG00000207204",0,NA,0,NA
"ENSG00000200406",1,1,0,NA
"ENSG00000264645",1,1,0,NA
"ENSG00000238749",1,1,0,NA
"ENSG00000216009",1,0,0,NA
"ENSG00000207778",0,NA,0,NA
"ENSG00000222344",1,1,0,NA
"ENSG00000268725",1,0,0,NA
"ENSG00000200626",1,1,0,NA
"ENSG00000201341",1,1,0,NA
"ENSG00000202358",1,0,0,NA
"ENSG00000264757",1,1,0,NA
"ENSG00000252317",1,0,0,NA
"ENSG00000238520",0,NA,0,NA
"ENSG00000251726",1,1,0,NA
"ENSG00000201041",0,NA,0,NA
"ENSG00000271673",0,NA,0,NA
"ENSG00000212379",1,1,0,NA
"ENSG00000252411",0,NA,0,NA
"ENSG00000222974",0,NA,0,NA
"ENSG00000264264",0,NA,0,NA
"ENSG00000251774",1,1,0,NA
"ENSG00000223125",0,NA,0,NA
"ENSG00000264110",1,0,0,NA
"ENSG00000238371",0,NA,0,NA
"ENSG00000263447",1,0,0,NA
"ENSG00000222232",0,NA,0,NA
"ENSG00000199990",0,NA,0,NA
"ENSG00000207799",0,NA,0,NA
"ENSG00000251827",1,1,0,NA
"ENSG00000207449",1,0,0,NA
"ENSG00000208032",0,NA,0,NA
"ENSG00000265998",1,0,0,NA
"ENSG00000206620",2,1,0,NA
"ENSG00000199471",1,1,0,NA
"ENSG00000221550",1,1,0,NA
"ENSG00000207514",0,NA,0,NA
"ENSG00000252767",1,1,0,NA
"ENSG00000265052",1,0,0,NA
"ENSG00000222346",1,0,0,NA
"ENSG00000200855",1,1,0,NA
"ENSG00000202275",1,0,0,NA
"ENSG00000265068",1,0,0,NA
"ENSG00000266890",1,1,0,NA
"ENSG00000202601",1,1,0,NA
"ENSG00000266226",2,1,0,NA
"ENSG00000202078",1,1,0,NA
"ENSG00000266478",1,0,0,NA
"ENSG00000207925",0,NA,0,NA
"ENSG00000207005",1,1,0,NA
"ENSG00000199318",0,NA,0,NA
"ENSG00000202336",1,0,0,NA
"ENSG00000221163",0,NA,0,NA
"ENSG00000223201",1,0,0,NA
"ENSG00000264888",1,1,0,NA
"ENSG00000221411",1,1,0,NA
"ENSG00000206661",0,NA,0,NA
"ENSG00000206745",0,NA,0,NA
"ENSG00000222170",1,1,0,NA
"ENSG00000212518",0,NA,0,NA
"ENSG00000202317",0,NA,0,NA
"ENSG00000207932",1,1,0,NA
"ENSG00000252936",1,1,0,NA
"ENSG00000221132",1,1,0,NA
"ENSG00000207989",0,NA,0,NA
"ENSG00000207488",1,1,0,NA
"ENSG00000252915",1,0,0,NA
"ENSG00000252301",2,1,0,NA
"ENSG00000221169",1,0,0,NA
"ENSG00000238972",0,NA,0,NA
"ENSG00000223039",1,0,0,NA
"ENSG00000265039",1,1,0,NA
"ENSG00000207261",1,1,0,NA
"ENSG00000212163",1,0,0,NA
"ENSG00000201425",1,0,0,NA
"ENSG00000216022",1,1,0,NA
"ENSG00000264310",0,NA,0,NA
"ENSG00000221751",0,NA,0,NA
"ENSG00000265802",2,0,0,NA
"ENSG00000251719",0,NA,0,NA
"ENSG00000221032",0,NA,0,NA
"ENSG00000266254",0,NA,0,NA
"ENSG00000207749",0,NA,0,NA
"ENSG00000207805",2,1,0,NA
"ENSG00000239129",1,1,0,NA
"ENSG00000212293",1,1,0,NA
"ENSG00000223307",0,NA,0,NA
"ENSG00000264071",0,NA,0,NA
"ENSG00000252912",1,0,0,NA
"ENSG00000207956",1,0,0,NA
"ENSG00000202012",0,NA,0,NA
"ENSG00000251753",0,NA,0,NA
"ENSG00000238809",0,NA,0,NA
"ENSG00000252064",0,NA,0,NA
"ENSG00000240626",0,NA,0,NA
"ENSG00000252368",1,0,0,NA
"ENSG00000252902",0,NA,0,NA
"ENSG00000207270",1,0,0,NA
"ENSG00000206769",1,1,0,NA
"ENSG00000253036",0,NA,0,NA
"ENSG00000266645",0,NA,0,NA
"ENSG00000265903",0,NA,0,NA
"ENSG00000238963",1,0,0,NA
"ENSG00000252127",0,NA,0,NA
"ENSG00000262230",0,NA,0,NA
"ENSG00000201638",0,NA,0,NA
"ENSG00000252975",1,1,0,NA
"ENSG00000264767",0,NA,0,NA
"ENSG00000201435",1,1,0,NA
"ENSG00000238792",0,NA,0,NA
"ENSG00000238384",1,1,0,NA
"ENSG00000238718",1,1,0,NA
"ENSG00000221578",0,NA,0,NA
"ENSG00000243951",1,0,0,NA
"ENSG00000262538",1,1,0,NA
"ENSG00000252839",1,1,0,NA
"ENSG00000266637",1,0,0,NA
"ENSG00000207548",1,0,0,NA
"ENSG00000201348",1,1,0,NA
"ENSG00000265087",1,1,0,NA
"ENSG00000252261",2,1,0,NA
"ENSG00000201627",1,0,0,NA
"ENSG00000242170",1,0,0,NA
"ENSG00000265569",0,NA,0,NA
"ENSG00000201048",1,1,0,NA
"ENSG00000265842",0,NA,0,NA
"ENSG00000199530",1,1,0,NA
"ENSG00000221073",1,1,0,NA
"ENSG00000264055",1,1,0,NA
"ENSG00000202533",1,0,0,NA
"ENSG00000266542",1,1,0,NA
"ENSG00000238300",1,1,0,NA
"ENSG00000252313",0,NA,0,NA
"ENSG00000223179",1,1,0,NA
"ENSG00000200884",1,1,0,NA
"ENSG00000201264",1,0,0,NA
"ENSG00000221065",2,1,0,NA
"ENSG00000199985",1,0,0,NA
"ENSG00000242764",0,NA,0,NA
"ENSG00000222236",1,1,0,NA
"ENSG00000265209",0,NA,0,NA
"ENSG00000201816",2,1,0,NA
"ENSG00000201443",0,NA,0,NA
"ENSG00000216116",1,1,0,NA
"ENSG00000212387",1,0,0,NA
"ENSG00000266755",1,1,0,NA
"ENSG00000252742",0,NA,0,NA
"ENSG00000212623",0,NA,0,NA
"ENSG00000201518",0,NA,0,NA
"ENSG00000207052",1,0,0,NA
"ENSG00000199683",0,NA,0,NA
"ENSG00000199570",1,1,0,NA
"ENSG00000266191",0,NA,0,NA
"ENSG00000202411",1,1,0,NA
"ENSG00000265522",1,1,0,NA
"ENSG00000206844",1,1,0,NA
"ENSG00000221762",0,NA,0,NA
"ENSG00000264725",1,0,0,NA
"ENSG00000221667",1,0,0,NA
"ENSG00000206967",1,1,0,NA
"ENSG00000239171",1,1,0,NA
"ENSG00000251842",1,1,0,NA
"ENSG00000241172",0,NA,0,NA
"ENSG00000201701",1,1,0,NA
"ENSG00000222994",0,NA,0,NA
"ENSG00000264833",0,NA,0,NA
"ENSG00000238480",1,1,0,NA
"ENSG00000252698",1,1,0,NA
"ENSG00000252098",1,1,0,NA
"ENSG00000212565",1,0,0,NA
"ENSG00000252119",0,NA,0,NA
"ENSG00000264381",2,0,0,NA
"ENSG00000252342",0,NA,0,NA
"ENSG00000207265",0,NA,0,NA
"ENSG00000252963",0,NA,0,NA
"ENSG00000199315",0,NA,0,NA
"ENSG00000199432",0,NA,0,NA
"ENSG00000266303",1,1,0,NA
"ENSG00000264965",0,NA,0,NA
"ENSG00000264623",1,0,0,NA
"ENSG00000207740",2,1,0,NA
"ENSG00000200496",0,NA,0,NA
"ENSG00000208037",0,NA,0,NA
"ENSG00000263842",1,0,0,NA
"ENSG00000207991",1,1,0,NA
"ENSG00000252027",0,NA,0,NA
"ENSG00000266264",1,1,0,NA
"ENSG00000238765",2,0,0,NA
"ENSG00000238474",1,0,0,NA
"ENSG00000252659",1,0,0,NA
"ENSG00000266574",0,NA,0,NA
"ENSG00000201358",1,1,0,NA
"ENSG00000252037",0,NA,0,NA
"ENSG00000201796",0,NA,0,NA
"ENSG00000200872",0,NA,0,NA
"ENSG00000206596",0,NA,0,NA
"ENSG00000238472",0,NA,0,NA
"ENSG00000222586",1,0,0,NA
"ENSG00000206786",1,0,0,NA
"ENSG00000201297",1,0,0,NA
"ENSG00000239125",1,1,0,NA
"ENSG00000266837",0,NA,0,NA
"ENSG00000199691",1,1,0,NA
"ENSG00000200998",0,NA,0,NA
"ENSG00000221179",1,0,0,NA
"ENSG00000252140",1,0,0,NA
"ENSG00000252100",0,NA,0,NA
"ENSG00000251785",1,0,0,NA
"ENSG00000201208",1,1,0,NA
"ENSG00000265433",1,1,0,NA
"ENSG00000212370",1,0,0,NA
"ENSG00000207241",1,1,0,NA
"ENSG00000266428",2,1,0,NA
"ENSG00000199942",1,1,0,NA
"ENSG00000238457",1,1,0,NA
"ENSG00000201939",0,NA,0,NA
"ENSG00000263661",1,1,0,NA
"ENSG00000223305",1,0,0,NA
"ENSG00000252922",1,0,0,NA
"ENSG00000242673",0,NA,0,NA
"ENSG00000207644",0,NA,0,NA
"ENSG00000265563",1,0,0,NA
"ENSG00000266142",0,NA,0,NA
"ENSG00000222644",0,NA,0,NA
"ENSG00000199953",0,NA,0,NA
"ENSG00000264003",0,NA,0,NA
"ENSG00000222068",1,1,0,NA
"ENSG00000200171",0,NA,0,NA
"ENSG00000265212",1,1,0,NA
"ENSG00000199047",1,1,0,NA
"ENSG00000201343",1,0,0,NA
"ENSG00000263782",0,NA,0,NA
"ENSG00000216047",0,NA,0,NA
"ENSG00000221506",1,1,0,NA
"ENSG00000265076",0,NA,0,NA
"ENSG00000223107",1,1,0,NA
"ENSG00000207395",2,1,0,NA
"ENSG00000262971",1,0,0,NA
"ENSG00000264865",1,0,0,NA
"ENSG00000265774",1,1,0,NA
"ENSG00000207214",0,NA,0,NA
"ENSG00000238855",0,NA,0,NA
"ENSG00000201151",1,1,0,NA
"ENSG00000265258",0,NA,0,NA
"ENSG00000238880",1,1,0,NA
"ENSG00000252375",1,1,0,NA
"ENSG00000206865",1,0,0,NA
"ENSG00000223341",1,0,0,NA
"ENSG00000263479",0,NA,0,NA
"ENSG00000221305",0,NA,0,NA
"ENSG00000252423",1,0,0,NA
"ENSG00000263436",1,0,0,NA
"ENSG00000251936",1,1,0,NA
"ENSG00000207862",0,NA,0,NA
"ENSG00000263475",0,NA,0,NA
"ENSG00000264025",1,0,0,NA
"ENSG00000243370",2,1,0,NA
"ENSG00000263735",0,NA,0,NA
"ENSG00000238486",0,NA,0,NA
