"ensembl_gene_id" "percentage_gene_gc_content"
"322" "ENSG00000012963" 43.29
"323" "ENSG00000012983" 37.27
"324" "ENSG00000013016" 50.13
"325" "ENSG00000013275" 50.25
"326" "ENSG00000013288" 54.58
"327" "ENSG00000013293" 42.15
"328" "ENSG00000013297" 41.54
"329" "ENSG00000013306" 61.11
"330" "ENSG00000013364" 52.54
"331" "ENSG00000013374" 44.96
"332" "ENSG00000013375" 38.66
"333" "ENSG00000013392" 44.76
"334" "ENSG00000013441" 41.85
"335" "ENSG00000013503" 39.75
"336" "ENSG00000013523" 44.52
"337" "ENSG00000013561" 42.04
"338" "ENSG00000013563" 54.47
"339" "ENSG00000013573" 52.28
"340" "ENSG00000013583" 43.52
"341" "ENSG00000013588" 46.77
"342" "ENSG00000013619" 44.08
"343" "ENSG00000013725" 49.93
"344" "ENSG00000013810" 56.07
"345" "ENSG00000014123" 33.38
"346" "ENSG00000014138" 47.9
"347" "ENSG00000014164" 58.38
"348" "ENSG00000014216" 51.18
"349" "ENSG00000014257" 40.4
"350" "ENSG00000014641" 38.05
"351" "ENSG00000014824" 36.98
"352" "ENSG00000014914" 49.97
"353" "ENSG00000014919" 42.42
"354" "ENSG00000015133" 51.25
"355" "ENSG00000015153" 39.02
"356" "ENSG00000015171" 37.8
"357" "ENSG00000015285" 50.82
"358" "ENSG00000015413" 59.08
"359" "ENSG00000015475" 52.51
"360" "ENSG00000015479" 38.8
"361" "ENSG00000015520" 51.5
"362" "ENSG00000015532" 56.54
"363" "ENSG00000015568" 39.34
"364" "ENSG00000015592" 48.03
"365" "ENSG00000015676" 44.52
"366" "ENSG00000016082" 44.32
"367" "ENSG00000016391" 49.32
"368" "ENSG00000016402" 41.2
"369" "ENSG00000016490" 40.09
"370" "ENSG00000016602" 37.99
"371" "ENSG00000016864" 44.49
"372" "ENSG00000017260" 37.56
"373" "ENSG00000017427" 39.66
"374" "ENSG00000017483" 54.89
"375" "ENSG00000017797" 41.38
"376" "ENSG00000018189" 39.91
"377" "ENSG00000018236" 35.21
"378" "ENSG00000018280" 55.34
"379" "ENSG00000018408" 41.07
"380" "ENSG00000018510" 36.51
"381" "ENSG00000018607" 40.79
"382" "ENSG00000018610" 44.29
"383" "ENSG00000018625" 50.38
"384" "ENSG00000018699" 39.46
"385" "ENSG00000018869" 40.84
"386" "ENSG00000019102" 53.7
"387" "ENSG00000019144" 54.3
"388" "ENSG00000019169" 44.33
"389" "ENSG00000019186" 43.36
"390" "ENSG00000019485" 47.84
"391" "ENSG00000019505" 46.27
"392" "ENSG00000019549" 41.13
"393" "ENSG00000019582" 53.3
"394" "ENSG00000019991" 34.42
"395" "ENSG00000019995" 39.68
"396" "ENSG00000020129" 57.71
"397" "ENSG00000020181" 55.25
"398" "ENSG00000020219" 57.11
"399" "ENSG00000020256" 44.05
"400" "ENSG00000020426" 36.62
"401" "ENSG00000020577" 43.1
"402" "ENSG00000020633" 54.8
"403" "ENSG00000020922" 37.31
"404" "ENSG00000021300" 52.94
"405" "ENSG00000021355" 43.16
"406" "ENSG00000021461" 40.68
"407" "ENSG00000021488" 46.62
"408" "ENSG00000021574" 39.98
"409" "ENSG00000021645" 39.46
"410" "ENSG00000021762" 57
"411" "ENSG00000021776" 37.54
"412" "ENSG00000021826" 36.31
"413" "ENSG00000021852" 42.82
"414" "ENSG00000022267" 42.07
"415" "ENSG00000022277" 43.71
"416" "ENSG00000022355" 34.99
"417" "ENSG00000022556" 49.09
"418" "ENSG00000022567" 52.64
"419" "ENSG00000022840" 45.25
"420" "ENSG00000022976" 49.04
"421" "ENSG00000023041" 38.61
"422" "ENSG00000023171" 45.8
"423" "ENSG00000023191" 60.36
"424" "ENSG00000023228" 40.81
"425" "ENSG00000023287" 37.73
"426" "ENSG00000023318" 37.86
"427" "ENSG00000023330" 45.47
"428" "ENSG00000023445" 37.6
"429" "ENSG00000023516" 36.45
"430" "ENSG00000023572" 41.92
"431" "ENSG00000023608" 39.61
"432" "ENSG00000023697" 39.16
"433" "ENSG00000023734" 36.48
"434" "ENSG00000023839" 45.12
"435" "ENSG00000023892" 48.45
"436" "ENSG00000023902" 51.63
"437" "ENSG00000023909" 36.37
"438" "ENSG00000024048" 39.1
"439" "ENSG00000024422" 52.96
"440" "ENSG00000024526" 34.94
"441" "ENSG00000024862" 39.18
"442" "ENSG00000025039" 42.25
"443" "ENSG00000025156" 35.55
"444" "ENSG00000025293" 44.08
"445" "ENSG00000025423" 44.92
"446" "ENSG00000025434" 50.87
"447" "ENSG00000025708" 64.53
"448" "ENSG00000025770" 55.08
"449" "ENSG00000025772" 45.11
"450" "ENSG00000025796" 39.82
"451" "ENSG00000025800" 44.21
"452" "ENSG00000026025" 46.25
"453" "ENSG00000026103" 37.84
"454" "ENSG00000026297" 48.7
"455" "ENSG00000026508" 41.56
"456" "ENSG00000026559" 52.21
"457" "ENSG00000026652" 45.36
"458" "ENSG00000026751" 43.99
"459" "ENSG00000026950" 44.45
"460" "ENSG00000027001" 39.76
"461" "ENSG00000027075" 42.48
"462" "ENSG00000027644" 55.51
"463" "ENSG00000027697" 38.81
"464" "ENSG00000027847" 57.92
"465" "ENSG00000027869" 55.56
"466" "ENSG00000028116" 35.24
"467" "ENSG00000028137" 55.39
"468" "ENSG00000028203" 38.6
"469" "ENSG00000028277" 51.31
"470" "ENSG00000028310" 55.14
"471" "ENSG00000028528" 43.68
"472" "ENSG00000028839" 37.6
"473" "ENSG00000029153" 39.26
"474" "ENSG00000029363" 35.59
"475" "ENSG00000029364" 40.2
"476" "ENSG00000029534" 49.32
"477" "ENSG00000029559" 36.11
"478" "ENSG00000029639" 38.35
"479" "ENSG00000029725" 41.37
"480" "ENSG00000029993" 51.16
"481" "ENSG00000030066" 41.86
"482" "ENSG00000030110" 57.18
"483" "ENSG00000030304" 36.45
"484" "ENSG00000030419" 34.84
"485" "ENSG00000030582" 57.64
"486" "ENSG00000031003" 40.05
"487" "ENSG00000031081" 43.44
"488" "ENSG00000031691" 37.99
"489" "ENSG00000031698" 43.12
"490" "ENSG00000031823" 52.74
"491" "ENSG00000032219" 37.48
"492" "ENSG00000032389" 48.27
"493" "ENSG00000032444" 55.88
"494" "ENSG00000032742" 38.74
"495" "ENSG00000033011" 49.28
"496" "ENSG00000033030" 42.68
"497" "ENSG00000033050" 49.19
"498" "ENSG00000033100" 56.82
"499" "ENSG00000033122" 35.35
"500" "ENSG00000033170" 37.41
"501" "ENSG00000033178" 35.52
"502" "ENSG00000033327" 41.71
"503" "ENSG00000033627" 45.47
"504" "ENSG00000033800" 38.09
"505" "ENSG00000033867" 36.85
"506" "ENSG00000034053" 48.63
"507" "ENSG00000034152" 56.97
"508" "ENSG00000034239" 40.09
"509" "ENSG00000034510" 63.37
"510" "ENSG00000034533" 39.7
"511" "ENSG00000034677" 38.61
"512" "ENSG00000034693" 35.11
"513" "ENSG00000034713" 47.18
"514" "ENSG00000034971" 45.71
"515" "ENSG00000035115" 40.78
"516" "ENSG00000035141" 48.46
"517" "ENSG00000035403" 41.45
"518" "ENSG00000035499" 38.63
"519" "ENSG00000035664" 46.89
"520" "ENSG00000035681" 38.41
"521" "ENSG00000035687" 38.3
"522" "ENSG00000035720" 37.8
"523" "ENSG00000035862" 52.6
"524" "ENSG00000035928" 39.26
"525" "ENSG00000036054" 36.46
"526" "ENSG00000036257" 37.23
"527" "ENSG00000036448" 46.64
"528" "ENSG00000036473" 39.3
"529" "ENSG00000036530" 47.28
"530" "ENSG00000036549" 37.17
"531" "ENSG00000036565" 44
"532" "ENSG00000036672" 54.64
"533" "ENSG00000036828" 41.14
"534" "ENSG00000037042" 51.9
"535" "ENSG00000037241" 46.12
"536" "ENSG00000037280" 60.24
"537" "ENSG00000037474" 43.29
"538" "ENSG00000037637" 43.85
"539" "ENSG00000037749" 43.54
"540" "ENSG00000037757" 52.16
"541" "ENSG00000037897" 54.22
"542" "ENSG00000037965" 52.78
"543" "ENSG00000038002" 39.89
"544" "ENSG00000038210" 41.82
"545" "ENSG00000038219" 38.88
"546" "ENSG00000038274" 38.25
"547" "ENSG00000038295" 35.72
"548" "ENSG00000038358" 57.32
"549" "ENSG00000038382" 43.35
"550" "ENSG00000038427" 37.22
"551" "ENSG00000038532" 48.06
"552" "ENSG00000038945" 35.52
"553" "ENSG00000039068" 46.89
"554" "ENSG00000039123" 36.85
"555" "ENSG00000039139" 38.97
"556" "ENSG00000039319" 37.65
"557" "ENSG00000039523" 57.05
"558" "ENSG00000039537" 36.68
"559" "ENSG00000039560" 42.13
"560" "ENSG00000039600" 40.71
"561" "ENSG00000039650" 59.53
"562" "ENSG00000039987" 57.95
"563" "ENSG00000040199" 41.82
"564" "ENSG00000040275" 37.28
"565" "ENSG00000040341" 38.25
"566" "ENSG00000040487" 54.93
"567" "ENSG00000040531" 54.27
"568" "ENSG00000040608" 60.45
"569" "ENSG00000040633" 59.51
"570" "ENSG00000040731" 34
"571" "ENSG00000040933" 47.33
"572" "ENSG00000041353" 37.74
"573" "ENSG00000041357" 42.32
"574" "ENSG00000041515" 38.48
"575" "ENSG00000041802" 41.69
"576" "ENSG00000041880" 59.21
"577" "ENSG00000041982" 41.85
"578" "ENSG00000041988" 56.77
"579" "ENSG00000042062" 51.6
"580" "ENSG00000042088" 42.14
"581" "ENSG00000042286" 50.25
"582" "ENSG00000042304" 43.18
"583" "ENSG00000042317" 37.9
"584" "ENSG00000042429" 39.79
"585" "ENSG00000042445" 51.7
"586" "ENSG00000042493" 51.32
"587" "ENSG00000042753" 52.87
"588" "ENSG00000042781" 36.36
"589" "ENSG00000042813" 36.38
"590" "ENSG00000042832" 45.9
"591" "ENSG00000042980" 35.71
"592" "ENSG00000043039" 42.73
"593" "ENSG00000043093" 39.56
"594" "ENSG00000043143" 53.79
"595" "ENSG00000043355" 56.6
"596" "ENSG00000043462" 44.64
"597" "ENSG00000043514" 42.46
"598" "ENSG00000043591" 57.45
"599" "ENSG00000044012" 59.94
"600" "ENSG00000044090" 54.7
"601" "ENSG00000044115" 44.15
"602" "ENSG00000044446" 45.75
"603" "ENSG00000044459" 36.43
"604" "ENSG00000044524" 34.6
"605" "ENSG00000044574" 43.98
"606" "ENSG00000046604" 39.27
"607" "ENSG00000046647" 40.79
"608" "ENSG00000046651" 39.8
"609" "ENSG00000046653" 41.5
"610" "ENSG00000046774" 51.77
"611" "ENSG00000046889" 37.16
"612" "ENSG00000047056" 45.5
"613" "ENSG00000047188" 34.67
"614" "ENSG00000047230" 43.51
"615" "ENSG00000047249" 39.2
"616" "ENSG00000047315" 40.19
"617" "ENSG00000047346" 37.21
"618" "ENSG00000047365" 35.53
"619" "ENSG00000047410" 34.16
"620" "ENSG00000047457" 37.35
"621" "ENSG00000047578" 47.84
"622" "ENSG00000047579" 39.93
"623" "ENSG00000047597" 39.54
"624" "ENSG00000047617" 44.4
"625" "ENSG00000047621" 36.55
"626" "ENSG00000047634" 38.89
"627" "ENSG00000047644" 46.21
"628" "ENSG00000047648" 39.11
"629" "ENSG00000047662" 44.05
"630" "ENSG00000047849" 43.43
"631" "ENSG00000047932" 36.66
"632" "ENSG00000047936" 37.24
"633" "ENSG00000048028" 41.45
"634" "ENSG00000048052" 36.13
"635" "ENSG00000048140" 58.7
"636" "ENSG00000048162" 49.33
"637" "ENSG00000048342" 40.21
"638" "ENSG00000048392" 37.99
"639" "ENSG00000048405" 37.8
"640" "ENSG00000048462" 40.48
"641" "ENSG00000048471" 47.13
"642" "ENSG00000048540" 35.63
"643" "ENSG00000048544" 41.04
"644" "ENSG00000048545" 51.23
"645" "ENSG00000048649" 39.04
"646" "ENSG00000048707" 42.34
"647" "ENSG00000048740" 41.91
"648" "ENSG00000048828" 42.4
"649" "ENSG00000048991" 37.98
"650" "ENSG00000049089" 57.43
"651" "ENSG00000049130" 36.84
"652" "ENSG00000049167" 37.16
"653" "ENSG00000049192" 35.91
"654" "ENSG00000049239" 52.29
"655" "ENSG00000049245" 42.77
"656" "ENSG00000049246" 40.53
"657" "ENSG00000049247" 40.81
"658" "ENSG00000049249" 43.95
"659" "ENSG00000049283" 58.71
"660" "ENSG00000049323" 40.25
"661" "ENSG00000049449" 43.38
"662" "ENSG00000049540" 54.95
"663" "ENSG00000049541" 48.96
"664" "ENSG00000049618" 40.87
"665" "ENSG00000049656" 56.17
"666" "ENSG00000049759" 43.36
"667" "ENSG00000049768" 53.51
"668" "ENSG00000049769" 47.85
"669" "ENSG00000049860" 42.11
"670" "ENSG00000049883" 40.38
"671" "ENSG00000050030" 39.49
"672" "ENSG00000050130" 36.78
"673" "ENSG00000050165" 49.18
"674" "ENSG00000050327" 48.06
"675" "ENSG00000050344" 44.64
"676" "ENSG00000050393" 41.24
"677" "ENSG00000050405" 42.32
"678" "ENSG00000050426" 45.34
"679" "ENSG00000050438" 42.72
"680" "ENSG00000050555" 53.69
"681" "ENSG00000050628" 38.05
"682" "ENSG00000050730" 37.14
"683" "ENSG00000050748" 43.58
"684" "ENSG00000050767" 50.62
"685" "ENSG00000050820" 59.7
"686" "ENSG00000051009" 44.55
"687" "ENSG00000051108" 43.16
"688" "ENSG00000051128" 56.77
"689" "ENSG00000051180" 43.47
"690" "ENSG00000051341" 39.06
"691" "ENSG00000051382" 40.59
"692" "ENSG00000051523" 61.89
"693" "ENSG00000051596" 43.01
"694" "ENSG00000051620" 47.12
"695" "ENSG00000051825" 42.99
"696" "ENSG00000052126" 38.09
"697" "ENSG00000052344" 59.05
"698" "ENSG00000052723" 36.9
"699" "ENSG00000052749" 50.49
"700" "ENSG00000052795" 40.56
"701" "ENSG00000052802" 37.1
"702" "ENSG00000052841" 37.89
"703" "ENSG00000052850" 52.84
"704" "ENSG00000053108" 46.69
"705" "ENSG00000053254" 44.31
"706" "ENSG00000053328" 40.64
"707" "ENSG00000053371" 52.87
"708" "ENSG00000053372" 53.49
"709" "ENSG00000053438" 54.05
"710" "ENSG00000053501" 55.26
"711" "ENSG00000053524" 42.39
"712" "ENSG00000053702" 51.39
"713" "ENSG00000053747" 42.46
"714" "ENSG00000053770" 35.17
"715" "ENSG00000053900" 37.97
"716" "ENSG00000053918" 51.55
"717" "ENSG00000054116" 49.8
"718" "ENSG00000054118" 43.72
"719" "ENSG00000054148" 66.23
"720" "ENSG00000054179" 65.74
"721" "ENSG00000054219" 37.97
"722" "ENSG00000054267" 39.95
"723" "ENSG00000054277" 39.62
"724" "ENSG00000054282" 39.81
"725" "ENSG00000054356" 53.59
"726" "ENSG00000054392" 42.26
"727" "ENSG00000054523" 41.99
"728" "ENSG00000054598" 56.32
"729" "ENSG00000054611" 49.42
"730" "ENSG00000054654" 40.76
"731" "ENSG00000054690" 48.02
"732" "ENSG00000054793" 46.69
"733" "ENSG00000054796" 36.78
"734" "ENSG00000054803" 44.01
"735" "ENSG00000054938" 51.57
"736" "ENSG00000054965" 41.55
"737" "ENSG00000054967" 59.84
"738" "ENSG00000054983" 39.12
"739" "ENSG00000055044" 41.15
"740" "ENSG00000055070" 48.1
"741" "ENSG00000055118" 59.57
"742" "ENSG00000055130" 41.22
"743" "ENSG00000055147" 37.35
"744" "ENSG00000055163" 44.29
"745" "ENSG00000055208" 38.87
"746" "ENSG00000055211" 42.05
"747" "ENSG00000055332" 41.14
"748" "ENSG00000055483" 50.03
"749" "ENSG00000055609" 38.65
"750" "ENSG00000055732" 40.77
"751" "ENSG00000055813" 38.49
"752" "ENSG00000055917" 37.42
"753" "ENSG00000055950" 53.18
"754" "ENSG00000055957" 54.92
"755" "ENSG00000056050" 38.6
"756" "ENSG00000056097" 38.33
"757" "ENSG00000056277" 38.03
"758" "ENSG00000056291" 36.77
"759" "ENSG00000056487" 52.73
"760" "ENSG00000056558" 49.95
"761" "ENSG00000056586" 40.5
"762" "ENSG00000056736" 45.37
"763" "ENSG00000056972" 44.45
"764" "ENSG00000056998" 43.67
"765" "ENSG00000057019" 38.58
"766" "ENSG00000057149" 38.05
"767" "ENSG00000057252" 39.63
"768" "ENSG00000057294" 40.8
"769" "ENSG00000057468" 37.01
"770" "ENSG00000057593" 61.36
"771" "ENSG00000057608" 43.74
"772" "ENSG00000057657" 41.29
"773" "ENSG00000057663" 39.61
"774" "ENSG00000057704" 43.11
"775" "ENSG00000057757" 44.59
