"ensembl_gene_id" "start_position" "end_position"
"291" "ENSG00000011304" 797075 812327
"292" "ENSG00000011332" 38211006 38229714
"293" "ENSG00000011347" 61515313 61581148
"294" "ENSG00000011376" 45388506 45549421
"295" "ENSG00000011405" 17077730 17207983
"296" "ENSG00000011422" 43646095 43670547
"297" "ENSG00000011426" 36389806 36453791
"298" "ENSG00000011451" 15419980 15449951
"299" "ENSG00000011454" 122940833 123104866
"300" "ENSG00000011465" 91140484 91183123
"301" "ENSG00000011478" 45692483 45703989
"302" "ENSG00000011485" 46346994 46392981
"303" "ENSG00000011523" 65056366 65087004
"304" "ENSG00000011566" 39249266 39437312
"305" "ENSG00000011590" 35704527 35717038
"306" "ENSG00000011600" 35904401 35908295
"307" "ENSG00000011638" 21158377 21180616
"308" "ENSG00000011677" 152166234 152451358
"309" "ENSG00000012048" 43044295 43170245
"310" "ENSG00000012061" 45407333 45478828
"311" "ENSG00000012124" 35319261 35347355
"312" "ENSG00000012171" 50267558 50277546
"313" "ENSG00000012174" 21839636 21885424
"314" "ENSG00000012211" 49175264 49186528
"315" "ENSG00000012223" 46435645 46485234
"316" "ENSG00000012232" 28600469 28755599
"317" "ENSG00000012504" 100473708 100564413
"318" "ENSG00000012660" 53267398 53349179
"319" "ENSG00000012779" 45374176 45446119
"320" "ENSG00000012817" 19703865 19744939
"321" "ENSG00000012822" 53708517 53727745
"322" "ENSG00000012963" 93207056 93229215
"323" "ENSG00000012983" 50418501 50561126
"324" "ENSG00000013016" 31234337 31269447
"325" "ENSG00000013275" 39971005 39981441
"326" "ENSG00000013288" 6575175 6623362
"327" "ENSG00000013293" 170459584 170586074
"328" "ENSG00000013297" 170418865 170860380
"329" "ENSG00000013306" 44319625 44324870
"330" "ENSG00000013364" 29820394 29848039
"331" "ENSG00000013374" 151341699 151378449
"332" "ENSG00000013375" 83161150 83193936
"333" "ENSG00000013392" 83193379 83198932
"334" "ENSG00000013441" 200853009 200864744
"335" "ENSG00000013503" 106357658 106510198
"336" "ENSG00000013523" 76786178 76826246
"337" "ENSG00000013561" 141958328 141990291
"338" "ENSG00000013563" 154401238 154412112
"339" "ENSG00000013573" 31073845 31104791
"340" "ENSG00000013583" 12974864 13000273
"341" "ENSG00000013588" 12890782 12917937
"342" "ENSG00000013619" 150361422 150514178
"343" "ENSG00000013725" 60971680 61020377
"344" "ENSG00000013810" 1721490 1745176
"345" "ENSG00000014123" 96521595 96555276
"346" "ENSG00000014138" 65261762 65305589
"347" "ENSG00000014164" 143437655 143541453
"348" "ENSG00000014216" 65180566 65212006
"349" "ENSG00000014257" 132317367 132368298
"350" "ENSG00000014641" 63588609 63607197
"351" "ENSG00000014824" 41990472 42090457
"352" "ENSG00000014914" 149928651 149936869
"353" "ENSG00000014919" 99711844 99732100
"354" "ENSG00000015133" 91271323 91417844
"355" "ENSG00000015153" 42157104 42238349
"356" "ENSG00000015171" 134465 254637
"357" "ENSG00000015285" 48676596 48691427
"358" "ENSG00000015413" 89613308 89638456
"359" "ENSG00000015475" 17734138 17774770
"360" "ENSG00000015479" 139293648 139331677
"361" "ENSG00000015520" 44512535 44541315
"362" "ENSG00000015532" 50346092 50363138
"363" "ENSG00000015568" 109792758 109857695
"364" "ENSG00000015592" 27235323 27258420
"365" "ENSG00000015676" 44379121 44490880
"366" "ENSG00000016082" 51383391 51394738
"367" "ENSG00000016391" 53812335 53846390
"368" "ENSG00000016402" 136999971 137045180
"369" "ENSG00000016490" 86468368 86500289
"370" "ENSG00000016602" 86547078 86580754
"371" "ENSG00000016864" 52694488 52706032
"372" "ENSG00000017260" 130850595 131016712
"373" "ENSG00000017427" 102395867 102480645
"374" "ENSG00000017483" 48458537 48470256
"375" "ENSG00000017797" 9475009 9538116
"376" "ENSG00000018189" 70704204 70807315
"377" "ENSG00000018236" 40692442 41072418
"378" "ENSG00000018280" 218382029 218396894
"379" "ENSG00000018408" 149517235 149736714
"380" "ENSG00000018510" 177392644 177559299
"381" "ENSG00000018607" 132309309 132318736
"382" "ENSG00000018610" 119538149 119565408
"383" "ENSG00000018625" 160115759 160143591
"384" "ENSG00000018699" 32628032 32821051
"385" "ENSG00000018869" 56375846 56393545
"386" "ENSG00000019102" 124747472 124752238
"387" "ENSG00000019144" 118606440 118658038
"388" "ENSG00000019169" 118942166 118994660
"389" "ENSG00000019186" 54153449 54173973
"390" "ENSG00000019485" 45095806 45235110
"391" "ENSG00000019505" 45240301 45286319
"392" "ENSG00000019549" 48917768 48921740
"393" "ENSG00000019582" 150401637 150412929
"394" "ENSG00000019991" 81699006 81770438
"395" "ENSG00000019995" 124942123 124988189
"396" "ENSG00000020129" 35557473 35567274
"397" "ENSG00000020181" 37784191 37844896
"398" "ENSG00000020219" 152445477 152447150
"399" "ENSG00000020256" 52051663 52204308
"400" "ENSG00000020426" 60734742 60969953
"401" "ENSG00000020577" 54567097 54793315
"402" "ENSG00000020633" 24899511 24965121
"403" "ENSG00000020922" 94415578 94493908
"404" "ENSG00000021300" 73646178 73662819
"405" "ENSG00000021355" 2832332 2842006
"406" "ENSG00000021461" 99828013 99866102
"407" "ENSG00000021488" 32830509 32869766
"408" "ENSG00000021574" 32063611 32157637
"409" "ENSG00000021645" 78170373 79868290
"410" "ENSG00000021762" 3087116 3166739
"411" "ENSG00000021776" 34851782 34969839
"412" "ENSG00000021826" 210477682 210679107
"413" "ENSG00000021852" 56929210 56966140
"414" "ENSG00000022267" 136146702 136211359
"415" "ENSG00000022277" 56468585 56519449
"416" "ENSG00000022355" 161847063 161899981
"417" "ENSG00000022556" 54953130 55001142
"418" "ENSG00000022567" 141207166 141308305
"419" "ENSG00000022840" 120533480 120577594
"420" "ENSG00000022976" 102317377 102342702
"421" "ENSG00000023041" 112424428 112446917
"422" "ENSG00000023171" 123358428 123627774
"423" "ENSG00000023191" 494512 507300
"424" "ENSG00000023228" 206114817 206159603
"425" "ENSG00000023287" 52622456 52745843
"426" "ENSG00000023318" 99979179 100099040
"427" "ENSG00000023330" 52198086 52214327
"428" "ENSG00000023445" 102317450 102339403
"429" "ENSG00000023516" 42272153 42323267
"430" "ENSG00000023572" 193096468 193106114
"431" "ENSG00000023608" 61762357 61796428
"432" "ENSG00000023697" 15911172 16037282
"433" "ENSG00000023734" 15882391 15903478
"434" "ENSG00000023839" 99782732 99852192
"435" "ENSG00000023892" 35297852 35321771
"436" "ENSG00000023902" 150149183 150164720
"437" "ENSG00000023909" 93885205 93909456
"438" "ENSG00000024048" 42564062 42693504
"439" "ENSG00000024422" 47713343 47743134
"440" "ENSG00000024526" 68474152 68497221
"441" "ENSG00000024862" 138773509 138793319
"442" "ENSG00000025039" 89364636 89412270
"443" "ENSG00000025156" 122399546 122433119
"444" "ENSG00000025293" 35771974 35950381
"445" "ENSG00000025423" 56752161 56787790
"446" "ENSG00000025434" 47248300 47269032
"447" "ENSG00000025708" 50525752 50530056
"448" "ENSG00000025770" 50508216 50523472
"449" "ENSG00000025772" 44942130 44960486
"450" "ENSG00000025796" 107867756 107958189
"451" "ENSG00000025800" 32108038 32176568
"452" "ENSG00000026025" 17228259 17237593
"453" "ENSG00000026103" 88990582 89015785
"454" "ENSG00000026297" 166929504 166957191
"455" "ENSG00000026508" 35138870 35232402
"456" "ENSG00000026559" 51003656 51023129
"457" "ENSG00000026652" 161129979 161274061
"458" "ENSG00000026751" 160739057 160754821
"459" "ENSG00000026950" 26402237 26415216
"460" "ENSG00000027001" 23730189 23889419
"461" "ENSG00000027075" 61187559 61550976
"462" "ENSG00000027644" 156840063 156859018
"463" "ENSG00000027697" 137197484 137219449
"464" "ENSG00000027847" 177600100 177610347
"465" "ENSG00000027869" 156806243 156816862
"466" "ENSG00000028116" 57907651 58159920
"467" "ENSG00000028137" 12167003 12209228
"468" "ENSG00000028203" 95217746 95302790
"469" "ENSG00000028277" 42086110 42196585
"470" "ENSG00000028310" 850291 892824
"471" "ENSG00000028528" 64094123 64146090
"472" "ENSG00000028839" 133952170 133990432
"473" "ENSG00000029153" 27332854 27425289
"474" "ENSG00000029363" 136256627 136289851
"475" "ENSG00000029364" 69398015 69462388
"476" "ENSG00000029534" 41653220 41896762
"477" "ENSG00000029559" 87799581 87812435
"478" "ENSG00000029639" 155257509 155314493
"479" "ENSG00000029725" 5282265 5385812
"480" "ENSG00000029993" 150980509 150990775
"481" "ENSG00000030066" 47778087 47848555
"482" "ENSG00000030110" 33572547 33580293
"483" "ENSG00000030304" 110668771 110801620
"484" "ENSG00000030419" 212999691 213152427
"485" "ENSG00000030582" 44345086 44353102
"486" "ENSG00000031003" 137937960 138051961
"487" "ENSG00000031081" 119294373 119420714
"488" "ENSG00000031691" 49463378 49493107
"489" "ENSG00000031698" 109213918 109238169
"490" "ENSG00000031823" 5916139 5978142
"491" "ENSG00000032219" 58298385 58373887
"492" "ENSG00000032389" 3188925 3377882
"493" "ENSG00000032444" 7534004 7561764
"494" "ENSG00000032742" 20567069 20691437
"495" "ENSG00000033011" 5033960 5087379
"496" "ENSG00000033030" 122471600 122501073
"497" "ENSG00000033050" 151207837 151227230
"498" "ENSG00000033100" 151232489 151238827
"499" "ENSG00000033122" 69568398 70151945
"500" "ENSG00000033170" 65410592 65744121
"501" "ENSG00000033178" 67612652 67701179
"502" "ENSG00000033327" 78215297 78418348
"503" "ENSG00000033627" 42458844 42522611
"504" "ENSG00000033800" 68054179 68198603
"505" "ENSG00000033867" 27372721 27484420
"506" "ENSG00000034053" 28884483 29118315
"507" "ENSG00000034152" 21284672 21315240
"508" "ENSG00000034239" 48710789 48735311
"509" "ENSG00000034510" 84905625 84906675
"510" "ENSG00000034533" 131013875 131027649
"511" "ENSG00000034677" 100257060 100336218
"512" "ENSG00000034693" 143450807 143490010
"513" "ENSG00000034713" 75566351 75577881
"514" "ENSG00000034971" 171635417 171652683
"515" "ENSG00000035115" 217730 266398
"516" "ENSG00000035141" 70295975 70302090
"517" "ENSG00000035403" 73995193 74121363
"518" "ENSG00000035499" 60596912 60700190
"519" "ENSG00000035664" 63907036 64072033
"520" "ENSG00000035681" 58583504 58659844
"521" "ENSG00000035687" 244408494 244452134
"522" "ENSG00000035720" 67558728 67607337
"523" "ENSG00000035862" 78852977 78925387
"524" "ENSG00000035928" 39287456 39366375
"525" "ENSG00000036054" 100261000 100325251
"526" "ENSG00000036257" 224470150 224585397
"527" "ENSG00000036448" 2045040 2165552
"528" "ENSG00000036473" 38352545 38421450
"529" "ENSG00000036530" 99684304 99727301
"530" "ENSG00000036549" 77562416 77683419
"531" "ENSG00000036565" 20144855 20183206
"532" "ENSG00000036672" 119355215 119381726
"533" "ENSG00000036828" 122183683 122291629
"534" "ENSG00000037042" 42659305 42667006
"535" "ENSG00000037241" 172958729 172969771
"536" "ENSG00000037280" 180601506 180649624
"537" "ENSG00000037474" 6599239 6633291
"538" "ENSG00000037637" 16246839 16352454
"539" "ENSG00000037749" 154038906 154220478
"540" "ENSG00000037757" 13764532 13774282
"541" "ENSG00000037897" 57768471 57772793
"542" "ENSG00000037965" 54009106 54012362
"543" "ENSG00000038002" 177430770 177442503
"544" "ENSG00000038210" 25233975 25279092
"545" "ENSG00000038219" 13568738 13627723
"546" "ENSG00000038274" 163503114 163519336
"547" "ENSG00000038295" 165873258 166103895
"548" "ENSG00000038358" 67873023 67884503
"549" "ENSG00000038382" 14143702 14532128
"550" "ENSG00000038427" 83471465 83582303
"551" "ENSG00000038532" 10944488 11182189
"552" "ENSG00000038945" 16107878 16567490
"553" "ENSG00000039068" 68737225 68835548
"554" "ENSG00000039123" 55307760 55425581
"555" "ENSG00000039139" 13690331 13944543
"556" "ENSG00000039319" 80408013 80479350
"557" "ENSG00000039523" 67518418 67546788
"558" "ENSG00000039537" 41142234 41261438
"559" "ENSG00000039560" 34656237 34832627
"560" "ENSG00000039600" 157625679 157671480
"561" "ENSG00000039650" 49859882 49878351
"562" "ENSG00000039987" 12751702 12758458
"563" "ENSG00000040199" 71637835 71724701
"564" "ENSG00000040275" 169583634 169604778
"565" "ENSG00000040341" 73420369 73747708
"566" "ENSG00000040487" 19312326 19329300
"567" "ENSG00000040531" 3636468 3661542
"568" "ENSG00000040608" 20241415 20283246
"569" "ENSG00000040633" 7235028 7239722
"570" "ENSG00000040731" 24487100 24644978
"571" "ENSG00000040933" 98444854 98594390
"572" "ENSG00000041353" 54717860 54895516
"573" "ENSG00000041357" 78540405 78552419
"574" "ENSG00000041515" 108596152 109208007
"575" "ENSG00000041802" 194640788 194672477
"576" "ENSG00000041880" 51942345 51948867
"577" "ENSG00000041982" 115019578 115118257
"578" "ENSG00000041988" 6624866 6635586
"579" "ENSG00000042062" 50586108 50691528
"580" "ENSG00000042088" 89954939 90044768
"581" "ENSG00000042286" 70098223 70132934
"582" "ENSG00000042304" 227610090 227633320
"583" "ENSG00000042317" 88384924 88470350
"584" "ENSG00000042429" 93784227 93814963
"585" "ENSG00000042445" 85342088 85354620
"586" "ENSG00000042493" 85394748 85418432
"587" "ENSG00000042753" 46838136 46850992
"588" "ENSG00000042781" 215622894 216423396
"589" "ENSG00000042813" 49850421 50121329
"590" "ENSG00000042832" 132866958 133134903
"591" "ENSG00000042980" 24294040 24359018
"592" "ENSG00000043039" 129375940 129452279
"593" "ENSG00000043093" 182938074 182985953
"594" "ENSG00000043143" 134524312 134583230
"595" "ENSG00000043355" 99981772 99986773
"596" "ENSG00000043462" 170246237 170298227
"597" "ENSG00000043514" 39841022 39883511
"598" "ENSG00000043591" 114044056 114046908
"599" "ENSG00000044012" 42153421 42155824
"600" "ENSG00000044090" 43037617 43053945
"601" "ENSG00000044115" 138610967 138935034
"602" "ENSG00000044446" 18892300 18984598
"603" "ENSG00000044459" 17134982 17503923
"604" "ENSG00000044524" 89107524 89482134
"605" "ENSG00000044574" 125234853 125241330
"606" "ENSG00000046604" 31498043 31549008
"607" "ENSG00000046647" 14008279 14029893
"608" "ENSG00000046651" 13734745 13769353
"609" "ENSG00000046653" 13771031 13938638
"610" "ENSG00000046774" 142202345 142205290
"611" "ENSG00000046889" 67952118 68237030
"612" "ENSG00000047056" 1049538 1132297
"613" "ENSG00000047188" 113513683 113595285
"614" "ENSG00000047230" 16588003 16712936
"615" "ENSG00000047249" 53715557 53843558
"616" "ENSG00000047315" 56977722 57031168
"617" "ENSG00000047346" 52581317 52709817
"618" "ENSG00000047365" 35948221 36244509
"619" "ENSG00000047410" 186311652 186375693
"620" "ENSG00000047457" 149162410 149222055
"621" "ENSG00000047578" 27550133 27780369
"622" "ENSG00000047579" 15522801 15663058
"623" "ENSG00000047597" 37685759 37732130
"624" "ENSG00000047617" 5531869 5946232
"625" "ENSG00000047621" 4487728 4538508
"626" "ENSG00000047634" 17737449 17754988
"627" "ENSG00000047644" 10015562 10144478
"628" "ENSG00000047648" 11137543 11665701
"629" "ENSG00000047662" 17629306 17781512
"630" "ENSG00000047849" 47850690 48089272
"631" "ENSG00000047932" 117560269 117602542
"632" "ENSG00000047936" 117288300 117425855
"633" "ENSG00000048028" 113797874 113875570
"634" "ENSG00000048052" 18086949 19002416
"635" "ENSG00000048140" 176647387 176659054
